"com_arm_code","com_arm_name","com_code","com_name","epci_code","epci_name","dep_code","dep_name","reg_code","reg_name","id_programme","libelle_programme","type_programme","operateur","debut_programme","fin_programme"
"95002","Ableiges","95002","Ableiges","200035970","Communauté de communes Vexin Centre","95","Val-d'Oise","11","Île-de-France","095OPA004","OPAH PARC NATUREL REGIONAL VEXIN FRANÇAIS","OPAH / OPAH-D","PACT ARIM DU VAL D'OISE","2003-08-01","2007-12-31"
"95002","Ableiges","95002","Ableiges","200035970","Communauté de communes Vexin Centre","95","Val-d'Oise","11","Île-de-France","095PIG001","PROGRAMME D'INTERET GENERAL PIG LOGEMENTS VACANTS","PIG","PACT ARIM DU VAL D'OISE","2007-01-01","2007-12-31"
"95008","Aincourt","95008","Aincourt","249500513","Communauté de communes du Vexin-Val de Seine","95","Val-d'Oise","11","Île-de-France","095PIG001","PROGRAMME D'INTERET GENERAL PIG LOGEMENTS VACANTS","PIG","PACT ARIM DU VAL D'OISE","2007-01-01","2007-12-31"
"95008","Aincourt","95008","Aincourt","249500513","Communauté de communes du Vexin-Val de Seine","95","Val-d'Oise","11","Île-de-France","095OPA004","OPAH PARC NATUREL REGIONAL VEXIN FRANÇAIS","OPAH / OPAH-D","PACT ARIM DU VAL D'OISE","2003-08-01","2007-12-31"
"95011","Ambleville","95011","Ambleville","249500513","Communauté de communes du Vexin-Val de Seine","95","Val-d'Oise","11","Île-de-France","095PIG001","PROGRAMME D'INTERET GENERAL PIG LOGEMENTS VACANTS","PIG","PACT ARIM DU VAL D'OISE","2007-01-01","2007-12-31"
"95012","Amenucourt","95012","Amenucourt","249500513","Communauté de communes du Vexin-Val de Seine","95","Val-d'Oise","11","Île-de-France","095PIG001","PROGRAMME D'INTERET GENERAL PIG LOGEMENTS VACANTS","PIG","PACT ARIM DU VAL D'OISE","2007-01-01","2007-12-31"
"95012","Amenucourt","95012","Amenucourt","249500513","Communauté de communes du Vexin-Val de Seine","95","Val-d'Oise","11","Île-de-France","095OPA004","OPAH PARC NATUREL REGIONAL VEXIN FRANÇAIS","OPAH / OPAH-D","PACT ARIM DU VAL D'OISE","2003-08-01","2007-12-31"
"95014","Andilly","95014","Andilly","200056380","Communauté d'agglomération Plaine Vallée","95","Val-d'Oise","11","Île-de-France","095PIG001","PROGRAMME D'INTERET GENERAL PIG LOGEMENTS VACANTS","PIG","PACT ARIM DU VAL D'OISE","2007-01-01","2007-12-31"
"95018","Argenteuil","95018","Argenteuil","200054781","Métropole du Grand Paris","95","Val-d'Oise","11","Île-de-France","095COP017","OPAH COPROPRIETE DEGRADE DE LA COPROPRIETE 2 ALLEE MOLIERE ARGENTEUIL","OPAH-D","SOLIHA PARISHAUTS DE SEINEVAL D'OISE","2010-01-01","2014-12-31"
"95018","Argenteuil","95018","Argenteuil","200054781","Métropole du Grand Paris","95","Val-d'Oise","11","Île-de-France","095COP015","OPAH DEGRADEE VAL D'ARGENT III ARGENTEUIL","OPAH-D","SOLIHA PARIS.HAUTS DE SEINE.VAL D'OISE","2010-01-01","2014-12-31"
"95018","Argenteuil","95018","Argenteuil","200054781","Métropole du Grand Paris","95","Val-d'Oise","11","Île-de-France","095COP020","OPAH DEGRADEE VAL D'ARGENT I ET VAL D'ARGENT II ARGENTEUIL","OPAH-D","URBANIS","2010-01-01","2014-12-31"
"95018","Argenteuil","95018","Argenteuil","200054781","Métropole du Grand Paris","95","Val-d'Oise","11","Île-de-France","095OPA009","OPAH RU QUARTIER VAL NOTRE DAME A ARGENTEUIL","OPAH-RU","APIC","2022-12-27","2027-12-27"
"95018","Argenteuil","95018","Argenteuil","200054781","Métropole du Grand Paris","95","Val-d'Oise","11","Île-de-France","095POP009","INGENIERIE POPAC VAL D'OISE","POPAC","SOLIHA PARIS HAUTE DE SEINE VAL D'OISE","2020-11-01","2023-11-01"
"95018","Argenteuil","95018","Argenteuil","200054781","Métropole du Grand Paris","95","Val-d'Oise","11","Île-de-France","095POP008","INGENIERIE POPAC VAL D'OISE","POPAC","URBANIS","2020-11-01","2023-11-01"
"95018","Argenteuil","95018","Argenteuil","200054781","Métropole du Grand Paris","95","Val-d'Oise","11","Île-de-France","095PIG003","PIG DU QUARTIER VAL D'ARGENT ARGENTEUIL","PIG","URBANIS","2015-08-06","2018-12-31"
"95018","Argenteuil","95018","Argenteuil","200054781","Métropole du Grand Paris","95","Val-d'Oise","11","Île-de-France","095COP019","PLS 2 PLACE DES CANUTS ARGENTEUIL","PLS","OZONE","2009-11-18","2014-11-17"
"95018","Argenteuil","95018","Argenteuil","200054781","Métropole du Grand Paris","95","Val-d'Oise","11","Île-de-France","095OPA005","VOLETS COPROPRIETES DEGRADEES DE L'OPAH RU ARGENTEUIL CENTRE VILLE ET COLONIE","OPAH-D","CABINET URBANIS","2006-01-01","2010-12-31"
"95018","Argenteuil","95018","Argenteuil","200054781","Métropole du Grand Paris","95","Val-d'Oise","11","Île-de-France","095COP100","OPAH COPROPRIETE DEGRADE DE LA COPROPRIETE 2 ALLEE FRANÇOIS VILLON ARGENTEUIL","OPAH-D","SOLIHA PARIS HAUTE DE SEINE VAL D'OISE","2010-10-15","2015-10-14"
"95018","Argenteuil","95018","Argenteuil","200054781","Métropole du Grand Paris","95","Val-d'Oise","11","Île-de-France","095PIG001","PROGRAMME D'INTERET GENERAL PIG LOGEMENTS VACANTS","PIG","PACT ARIM DU VAL D'OISE","2007-01-01","2007-12-31"
"95018","Argenteuil","95018","Argenteuil","200054781","Métropole du Grand Paris","95","Val-d'Oise","11","Île-de-France","095COP018","OPAH DEGRADEE 3 ALLEE FRANÇOIS VILLON ARGENTEUIL","OPAH-D","SOLIHA PARIS HAUTE DE SEINE VAL D'OISE","2010-01-01","2014-12-31"
"95018","Argenteuil","95018","Argenteuil","200054781","Métropole du Grand Paris","95","Val-d'Oise","11","Île-de-France","095OPA005","OPAH RU ARGENTEUIL CENTRE VILLE ET COLONIE","OPAH-RU","CABINET URBANIS","2006-01-01","2010-12-31"
"95018","Argenteuil","95018","Argenteuil","200054781","Métropole du Grand Paris","95","Val-d'Oise","11","Île-de-France","095COP021","OPAH COPROPRIETE DEGRADE DE LA COPROPRIETE MONTIGNY ARGENTEUIL","OPAH-D","OZONE","2010-01-01","2014-12-31"
"95018","Argenteuil","95018","Argenteuil","200054781","Métropole du Grand Paris","95","Val-d'Oise","11","Île-de-France","095COP045","PLS SQUARE JEAN DE LA FONTAINE ARGENTEUIL","PLS","URBANIS","2021-02-15","2028-02-14"
"95018","Argenteuil","95018","Argenteuil","200054781","Métropole du Grand Paris","95","Val-d'Oise","11","Île-de-France","095COP101","OPAH DEGRADEE 4 ALLEE FRANÇOIS VILLON ARGENTEUIL","OPAH-D","SOLIHA PARIS HAUTE DE SEINE VAL D'OISE","2010-10-15","2015-10-14"
"95018","Argenteuil","95018","Argenteuil","200054781","Métropole du Grand Paris","95","Val-d'Oise","11","Île-de-France","095POP010","INGENIERIE POPAC VAL D'OISE","POPAC","URBANIS","2020-11-01","2023-11-01"
"95018","Argenteuil","95018","Argenteuil","200054781","Métropole du Grand Paris","95","Val-d'Oise","11","Île-de-France","095COP016","PLS 12 PLACE DESSAU ARGENTEUIL","PLS","OZONE","2009-11-18","2014-11-17"
"95018","Argenteuil","95018","Argenteuil","200054781","Métropole du Grand Paris","95","Val-d'Oise","11","Île-de-France","095COP042","OPAH CD COPROPRIETE DEGRADE 2 VILLON","OPAH-D","SOLIHA PARIS HAUTE DE SEINE VAL D'OISE","2018-08-06","2023-08-05"
"95018","Argenteuil","95018","Argenteuil","200054781","Métropole du Grand Paris","95","Val-d'Oise","11","Île-de-France","095COP007","PLAN DE SAUVEGARDE ARGENTEUIL BEAUCHAMP QUARTIER VAL D'ARGENT","PLS","OZONE","2002-10-28","2007-12-23"
"95018","Argenteuil","95018","Argenteuil","200054781","Métropole du Grand Paris","95","Val-d'Oise","11","Île-de-France","095POP011","INGENIERIE POPAC VAL D'OISE","POPAC","SOLIHA PARIS HAUTE DE SEINE VAL D'OISE","2020-11-01","2023-11-01"
"95018","Argenteuil","95018","Argenteuil","200054781","Métropole du Grand Paris","95","Val-d'Oise","11","Île-de-France","095POP005","INGENIERIE POPAC VAL D'OISE","POPAC","URBANIS","2019-01-07","2022-01-07"
"95018","Argenteuil","95018","Argenteuil","200054781","Métropole du Grand Paris","95","Val-d'Oise","11","Île-de-France","095COP041","OPAH CD COPROPRIETE DEGRADE 3 ET 4 VILLON","OPAH-D","SOLIHA PARIS HAUTE DE SEINE VAL D'OISE","2017-10-30","2022-10-29"
"95018","Argenteuil","95018","Argenteuil","200054781","Métropole du Grand Paris","95","Val-d'Oise","11","Île-de-France","095COP038","OPAH CD COPROPRIETE 2 MOLIERE","OPAH-D","SOLIHA PARIS HAUTE DE SEINE VAL D'OISE","2017-03-29","2022-03-28"
"95019","Arnouville","95019","Arnouville","200055655","Communauté d'agglomération Roissy Pays de France","95","Val-d'Oise","11","Île-de-France","095PIG001","PROGRAMME D'INTERET GENERAL PIG LOGEMENTS VACANTS","PIG","PACT ARIM DU VAL D'OISE","2007-01-01","2007-12-31"
"95023","Arronville","95023","Arronville","249500430","Communauté de communes Sausseron Impressionnistes","95","Val-d'Oise","11","Île-de-France","095PIG001","PROGRAMME D'INTERET GENERAL PIG LOGEMENTS VACANTS","PIG","PACT ARIM DU VAL D'OISE","2007-01-01","2007-12-31"
"95023","Arronville","95023","Arronville","249500430","Communauté de communes Sausseron Impressionnistes","95","Val-d'Oise","11","Île-de-France","095OPA004","OPAH PARC NATUREL REGIONAL VEXIN FRANÇAIS","OPAH / OPAH-D","PACT ARIM DU VAL D'OISE","2003-08-01","2007-12-31"
"95024","Arthies","95024","Arthies","249500513","Communauté de communes du Vexin-Val de Seine","95","Val-d'Oise","11","Île-de-France","095OPA004","OPAH PARC NATUREL REGIONAL VEXIN FRANÇAIS","OPAH / OPAH-D","PACT ARIM DU VAL D'OISE","2003-08-01","2007-12-31"
"95024","Arthies","95024","Arthies","249500513","Communauté de communes du Vexin-Val de Seine","95","Val-d'Oise","11","Île-de-France","095PIG001","PROGRAMME D'INTERET GENERAL PIG LOGEMENTS VACANTS","PIG","PACT ARIM DU VAL D'OISE","2007-01-01","2007-12-31"
"95026","Asnières-sur-Oise","95026","Asnières-sur-Oise","200073013","Communauté de communes Carnelle Pays-de-France","95","Val-d'Oise","11","Île-de-France","095PIG001","PROGRAMME D'INTERET GENERAL PIG LOGEMENTS VACANTS","PIG","PACT ARIM DU VAL D'OISE","2007-01-01","2007-12-31"
"95028","Attainville","95028","Attainville","200056380","Communauté d'agglomération Plaine Vallée","95","Val-d'Oise","11","Île-de-France","095PIG001","PROGRAMME D'INTERET GENERAL PIG LOGEMENTS VACANTS","PIG","PACT ARIM DU VAL D'OISE","2007-01-01","2007-12-31"
"95039","Auvers-sur-Oise","95039","Auvers-sur-Oise","249500430","Communauté de communes Sausseron Impressionnistes","95","Val-d'Oise","11","Île-de-France","095OPA004","OPAH PARC NATUREL REGIONAL VEXIN FRANÇAIS","OPAH / OPAH-D","PACT ARIM DU VAL D'OISE","2003-08-01","2007-12-31"
"95039","Auvers-sur-Oise","95039","Auvers-sur-Oise","249500430","Communauté de communes Sausseron Impressionnistes","95","Val-d'Oise","11","Île-de-France","095PIG001","PROGRAMME D'INTERET GENERAL PIG LOGEMENTS VACANTS","PIG","PACT ARIM DU VAL D'OISE","2007-01-01","2007-12-31"
"95040","Avernes","95040","Avernes","200035970","Communauté de communes Vexin Centre","95","Val-d'Oise","11","Île-de-France","095PIG001","PROGRAMME D'INTERET GENERAL PIG LOGEMENTS VACANTS","PIG","PACT ARIM DU VAL D'OISE","2007-01-01","2007-12-31"
"95040","Avernes","95040","Avernes","200035970","Communauté de communes Vexin Centre","95","Val-d'Oise","11","Île-de-France","095OPA004","OPAH PARC NATUREL REGIONAL VEXIN FRANÇAIS","OPAH / OPAH-D","PACT ARIM DU VAL D'OISE","2003-08-01","2007-12-31"
"95042","Baillet-en-France","95042","Baillet-en-France","200073013","Communauté de communes Carnelle Pays-de-France","95","Val-d'Oise","11","Île-de-France","095PIG001","PROGRAMME D'INTERET GENERAL PIG LOGEMENTS VACANTS","PIG","PACT ARIM DU VAL D'OISE","2007-01-01","2007-12-31"
"95046","Banthelu","95046","Banthelu","249500513","Communauté de communes du Vexin-Val de Seine","95","Val-d'Oise","11","Île-de-France","095OPA004","OPAH PARC NATUREL REGIONAL VEXIN FRANÇAIS","OPAH / OPAH-D","PACT ARIM DU VAL D'OISE","2003-08-01","2007-12-31"
"95046","Banthelu","95046","Banthelu","249500513","Communauté de communes du Vexin-Val de Seine","95","Val-d'Oise","11","Île-de-France","095PIG001","PROGRAMME D'INTERET GENERAL PIG LOGEMENTS VACANTS","PIG","PACT ARIM DU VAL D'OISE","2007-01-01","2007-12-31"
"95051","Beauchamp","95051","Beauchamp","200058485","Communauté d'agglomération Val Parisis","95","Val-d'Oise","11","Île-de-France","095PIG001","PROGRAMME D'INTERET GENERAL PIG LOGEMENTS VACANTS","PIG","PACT ARIM DU VAL D'OISE","2007-01-01","2007-12-31"
"95052","Beaumont-sur-Oise","95052","Beaumont-sur-Oise","249500489","Communauté de communes du Haut Val d'Oise","95","Val-d'Oise","11","Île-de-France","095PIG001","PROGRAMME D'INTERET GENERAL PIG LOGEMENTS VACANTS","PIG","PACT ARIM DU VAL D'OISE","2007-01-01","2007-12-31"
"95052","Beaumont-sur-Oise","95052","Beaumont-sur-Oise","249500489","Communauté de communes du Haut Val d'Oise","95","Val-d'Oise","11","Île-de-France","095OPA011","OPAH CCHVO","OPAH","CITEMETRIE ANTENNE REGIONALE ILE DE FRANCE","2024-10-01","2027-09-30"
"95052","Beaumont-sur-Oise","95052","Beaumont-sur-Oise","249500489","Communauté de communes du Haut Val d'Oise","95","Val-d'Oise","11","Île-de-France","095PIG002","PIG HABITER MIEUX CCHVO","PIG","SOLIHA PARIS.HAUTS DE SEINE.VAL D'OISE","2014-02-21","2018-12-31"
"95052","Beaumont-sur-Oise","95052","Beaumont-sur-Oise","249500489","Communauté de communes du Haut Val d'Oise","95","Val-d'Oise","11","Île-de-France","095OPA010","OPAH RU PERSAN BEAUMONT SUR OISE","OPAH-RU","CITEMETRIE","2024-10-01","2029-09-30"
"95052","Beaumont-sur-Oise","95052","Beaumont-sur-Oise","249500489","Communauté de communes du Haut Val d'Oise","95","Val-d'Oise","11","Île-de-France","095COP040","OPAH COPRO DEGRADEE CC DU HAUT VAL D'OISE CCHVO","OPAH-D","SOLIHA PARIS.HAUTS DE SEINE.VAL D'OISE","2014-02-21","2018-12-31"
"95052","Beaumont-sur-Oise","95052","Beaumont-sur-Oise","249500489","Communauté de communes du Haut Val d'Oise","95","Val-d'Oise","11","Île-de-France","095OPA007","OPAH CC DU HAUT VAL D'OISE CCHVO","OPAH","SOLIHA PARIS.HAUTS DE SEINE.VAL D'OISE","2014-02-21","2018-12-31"
"95054","Le Bellay-en-Vexin","95054","Le Bellay-en-Vexin","200035970","Communauté de communes Vexin Centre","95","Val-d'Oise","11","Île-de-France","095PIG001","PROGRAMME D'INTERET GENERAL PIG LOGEMENTS VACANTS","PIG","PACT ARIM DU VAL D'OISE","2007-01-01","2007-12-31"
"95054","Le Bellay-en-Vexin","95054","Le Bellay-en-Vexin","200035970","Communauté de communes Vexin Centre","95","Val-d'Oise","11","Île-de-France","095OPA004","OPAH PARC NATUREL REGIONAL VEXIN FRANÇAIS","OPAH / OPAH-D","PACT ARIM DU VAL D'OISE","2003-08-01","2007-12-31"
