Code géographique,Libellé géographique,"Résidences principales
Avant 1919
Maison","Résidences principales
Avant 1919
Appartement","Résidences principales
Avant 1919
Autres logements de métropole","Résidences principales
De 1919 à 1945
Maison","Résidences principales
De 1919 à 1945
Appartement","Résidences principales
De 1919 à 1945
Autres logements de métropole","Résidences principales
De 1946 à 1970
Maison","Résidences principales
De 1946 à 1970
Appartement","Résidences principales
De 1946 à 1970
Autres logements de métropole","Résidences principales
De 1971 à 1990
Maison","Résidences principales
De 1971 à 1990
Appartement","Résidences principales
De 1971 à 1990
Autres logements de métropole","Résidences principales
De 1991 à 2005
Maison","Résidences principales
De 1991 à 2005
Appartement","Résidences principales
De 1991 à 2005
Autres logements de métropole","Résidences principales
De 2006 à 2019
Maison","Résidences principales
De 2006 à 2019
Appartement","Résidences principales
De 2006 à 2019
Autres logements de métropole","Logements occasionnels
Avant 1919
Maison","Logements occasionnels
Avant 1919
Appartement","Logements occasionnels
Avant 1919
Autres logements de métropole","Logements occasionnels
De 1919 à 1945
Maison","Logements occasionnels
De 1919 à 1945
Appartement","Logements occasionnels
De 1919 à 1945
Autres logements de métropole","Logements occasionnels
De 1946 à 1970
Maison","Logements occasionnels
De 1946 à 1970
Appartement","Logements occasionnels
De 1946 à 1970
Autres logements de métropole","Logements occasionnels
De 1971 à 1990
Maison","Logements occasionnels
De 1971 à 1990
Appartement","Logements occasionnels
De 1971 à 1990
Autres logements de métropole","Logements occasionnels
De 1991 à 2005
Maison","Logements occasionnels
De 1991 à 2005
Appartement","Logements occasionnels
De 1991 à 2005
Autres logements de métropole","Logements occasionnels
De 2006 à 2019
Maison","Logements occasionnels
De 2006 à 2019
Appartement","Logements occasionnels
De 2006 à 2019
Autres logements de métropole","Résidences secondaires
Avant 1919
Maison","Résidences secondaires
Avant 1919
Appartement","Résidences secondaires
Avant 1919
Autres logements de métropole","Résidences secondaires
De 1919 à 1945
Maison","Résidences secondaires
De 1919 à 1945
Appartement","Résidences secondaires
De 1919 à 1945
Autres logements de métropole","Résidences secondaires
De 1946 à 1970
Maison","Résidences secondaires
De 1946 à 1970
Appartement","Résidences secondaires
De 1946 à 1970
Autres logements de métropole","Résidences secondaires
De 1971 à 1990
Maison","Résidences secondaires
De 1971 à 1990
Appartement","Résidences secondaires
De 1971 à 1990
Autres logements de métropole","Résidences secondaires
De 1991 à 2005
Maison","Résidences secondaires
De 1991 à 2005
Appartement","Résidences secondaires
De 1991 à 2005
Autres logements de métropole","Résidences secondaires
De 2006 à 2019
Maison","Résidences secondaires
De 2006 à 2019
Appartement","Résidences secondaires
De 2006 à 2019
Autres logements de métropole","Logements vacants
Avant 1919
Maison","Logements vacants
Avant 1919
Appartement","Logements vacants
Avant 1919
Autres logements de métropole","Logements vacants
De 1919 à 1945
Maison","Logements vacants
De 1919 à 1945
Appartement","Logements vacants
De 1919 à 1945
Autres logements de métropole","Logements vacants
De 1946 à 1970
Maison","Logements vacants
De 1946 à 1970
Appartement","Logements vacants
De 1946 à 1970
Autres logements de métropole","Logements vacants
De 1971 à 1990
Maison","Logements vacants
De 1971 à 1990
Appartement","Logements vacants
De 1971 à 1990
Autres logements de métropole","Logements vacants
De 1991 à 2005
Maison","Logements vacants
De 1991 à 2005
Appartement","Logements vacants
De 1991 à 2005
Autres logements de métropole","Logements vacants
De 2006 à 2019
Maison","Logements vacants
De 2006 à 2019
Appartement","Logements vacants
De 2006 à 2019
Autres logements de métropole"
95002,Ableiges,53.47176,3.09437,0,21.78867,0.97986,0,23.53553,4.23187,2.14775,172.04417,3.09531,0,53.93301,16.04352,1.04158,62.74294,13.51207,0,1.02287,1.02287,0,0,0,0,1.02287,0,0,0,0,0,0,0,0,0,0,0,1.02287,0,0,0,0,0,2.04574,0,0,4.09148,0,0,0,0,0,1.02287,0,0,6.13721,0,0,1.02287,0,0,2.04574,0,0,13.2973,1.02287,0,6.13721,2.04574,0,3.06861,3.06861,0
95008,Aincourt,41.0644,5.95152,0,24.41222,19.7988,0,29.00422,10.79709,0,80.78777,12.90882,0,54.11911,8.83553,0,14.43017,1.98384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83496,3.31311,0,2.20874,15.46119,0,0,0,0,1.10437,0,0,2.20874,0,0,0,0,0,5.52185,0,0,2.20874,9.93934,0,1.10437,0,0,5.52185,2.20874,0,1.10437,4.41748,0,0,0,0
95011,Ambleville,69.38418,1.96394,0,9.05802,1.06778,0,27.36157,1.06778,0,27.69564,2.04887,0,17.72149,0,0,8.0202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05797,0,0,0,0,0,3.02899,0,0,3.02899,0,0,2.01932,0,0,1.00966,0,0,5.04831,1.00966,0,1.00966,0,0,4.03865,0,0,8.07729,0,0,1.00966,0,0,0,0,0
95012,Amenucourt,21.40385,0,0,3.05769,0,0,19.36538,0,0,18.34615,0,0,10.19231,0,0,7.13462,1.01923,0,1.01835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05505,0,5.09174,0,0,1.01835,0,0,0,0,0,2.0367,0,0,1.01835,0,0,0,0,0,4.07339,0,0,0,0,0,0,0,0,2.0367,0,0,0,0,0,0,0,0
95014,Andilly,74.74051,28.7384,0,37.92831,32.83117,46.99515,87.01854,87.3162,0,244.75279,81.11207,1.02937,103.28984,46.19736,1.02315,54.16566,46.12307,1.02006,0,1.02471,0,1.02471,0,0,0,0,0,2.04943,0,0,0,0,0,0,0,0,0,0,0,2.04943,0,0,0,0,0,1.02471,0,0,0,1.02471,0,0,1.02471,0,7.173,1.02471,0,2.04943,5.12357,78.90304,2.04943,11.27186,0,14.34601,6.14829,1.02471,3.07414,6.14829,0,1.02471,3.07414,0
95018,Argenteuil,606.51455,432.21294,22.58432,3145.66962,1679.94861,37.96144,3469.51394,9704.31224,92.53947,2995.34844,8616.25463,170.69275,1749.43877,3877.4977,334.45392,735.24844,5488.00935,55.28152,0,3.84353,0,24.05301,19.06853,0,10.94466,34.40045,0.93684,6.92332,38.97514,13.00372,0,31.44967,0.98161,0,27.49357,0,3.10843,0,0,15.39435,20.78663,0,17.78326,20.77748,0,19.39906,47.49079,0,4.59242,17.28769,3.08337,7.91355,9.38564,0.93684,7.73812,135.78425,0,152.37379,128.63167,0,220.14584,830.05822,11.13217,172.45515,493.97288,28.18221,65.29658,255.86274,13.29746,40.84886,270.25654,4.65112
95019,Arnouville,105.03095,7.6262,0,533.56048,101.378,0,1208.57175,493.1926,7.34447,1066.65066,481.22364,11.38477,448.54718,262.59485,32.93361,184.17972,52.06333,49.60121,2.94981,0,0,0,0,0,7.8229,0,0,0,5.41554,2.48859,0,2.8154,0,2.55535,0,0,5.98863,0,0,0,0,0,9.64557,0,0,5.47535,3.04805,0,3.8201,0,0,0,0,0,5.89961,11.72816,0,25.70634,15.20241,0,52.65308,28.45519,0,61.55239,26.226,0,25.56018,36.64527,0,10.36983,0,0
95023,Arronville,79.85315,1.86931,0,20.4795,0,0,22.60821,0,0,75.49348,1.00852,0,36.74331,4.8196,0,15.11413,0,0,0,0,1.1694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5082,0,0,0,0,0,2.3388,0,0,1.1694,0,0,0,0,0,0,0,0,12.86339,1.1694,0,0,0,0,3.5082,0,0,1.1694,0,0,1.1694,0,0,0,0,0
95024,Arthies,44.97328,0,0,7.81726,0,0,13.97739,0.99263,0,11.91406,0.99263,0.96788,22.35324,0,0,5.19484,0,0,1.96043,0,0,0,0,0,0,0,0,0.98021,0,0,0,0,0,0,0,0,0.98021,0,0,0,0,0,0.98021,0,0,0,0,0,0,0,0,0,0,0,4.90106,1.96043,0,0.98021,0,0,0,0,0,0.98021,0,0,0.98021,0,0,0,0,0
95026,Asnières-sur-Oise,158.85912,21.52121,2.0544,56.05825,21.56756,0,126.42987,13.33442,0,415.64502,22.53705,3.0933,66.0678,7.17123,41.13494,153.91002,79.82677,74.02881,3.05864,3.05864,1.01955,1.01955,0,0,2.03909,0,0,7.13682,0,0,0,0,12.23454,1.01955,1.01955,3.05864,5.09773,1.01955,0,2.03909,0,0,1.01955,0,0,1.01955,0,0,2.03909,0,1.01955,0,0,13.25409,14.27363,8.15636,1.01955,6.11727,5.09773,0,9.17591,5.09773,0,15.29318,11.215,0,0,3.05864,3.05864,4.07818,7.13682,5.09773
