"CODGEO_26";"LIBGEO_26";"pp_vacant_26";"pp_vacant_plus_2ans_26";"ff_pp_total_25";"pp_vacant_25";"pp_vacant_plus_2ans_25";"ff_pp_total_24";"pp_vacant_24";"pp_vacant_plus_2ans_24";"ff_pp_total_23";"pp_vacant_23";"pp_vacant_plus_2ans_23";"ff_pp_total_22";"pp_vacant_22";"pp_vacant_plus_2ans_22";"ff_pp_total_21";"pp_vacant_21";"pp_vacant_plus_2ans_21";"ff_pp_total_20";"pp_vacant_20";"pp_vacant_plus_2ans_20";"EPCI_26";"LIB_EPCI_26";"DEP";"LIB_DEP";"REG";"LIB_REG"
"95002";"Ableiges";"43";"11";"s";"23";"11";"s";"42";"s";"s";"41";"s";"s";"31";"s";"s";"29";"s";"s";"34";"s";"200035970";"Communauté de communes Vexin Centre";"95";"Val-d'Oise";"11";"Île-de-France"
"95008";"Aincourt";"37";"20";"360";"34";"23";"360";"43";"s";"367";"43";"16";"371";"40";"14";"369";"40";"18";"367";"34";"17";"249500513";"Communauté de communes du Vexin-Val de Seine";"95";"Val-d'Oise";"11";"Île-de-France"
"95011";"Ambleville";"15";"s";"s";"s";"s";"s";"13";"s";"s";"13";"s";"s";"13";"s";"s";"18";"s";"s";"14";"s";"249500513";"Communauté de communes du Vexin-Val de Seine";"95";"Val-d'Oise";"11";"Île-de-France"
"95012";"Amenucourt";"12";"s";"s";"s";"s";"s";"s";"s";"s";"15";"s";"s";"12";"s";"s";"s";"s";"s";"s";"s";"249500513";"Communauté de communes du Vexin-Val de Seine";"95";"Val-d'Oise";"11";"Île-de-France"
"95014";"Andilly";"75";"32";"861";"62";"30";"864";"100";"27";"871";"107";"21";"851";"75";"14";"864";"82";"25";"862";"92";"27";"200056380";"Communauté d'agglomération Plaine Vallée";"95";"Val-d'Oise";"11";"Île-de-France"
"95018";"Argenteuil";"2901";"905";"33402";"2106";"1131";"33100";"4125";"632";"32860";"3592";"323";"32696";"3388";"409";"32385";"3724";"503";"31643";"3367";"427";"200054781";"Métropole du Grand Paris";"95";"Val-d'Oise";"11";"Île-de-France"
"95019";"Arnouville";"380";"109";"4974";"248";"137";"4973";"468";"130";"4979";"402";"92";"4977";"370";"99";"4948";"329";"78";"4946";"352";"63";"200055655";"Communauté d'agglomération Roissy Pays de France";"95";"Val-d'Oise";"11";"Île-de-France"
"95023";"Arronville";"16";"s";"s";"17";"s";"s";"20";"s";"s";"26";"s";"s";"18";"s";"s";"15";"s";"s";"15";"s";"249500430";"Communauté de communes Sausseron Impressionnistes";"95";"Val-d'Oise";"11";"Île-de-France"
"95024";"Arthies";"21";"s";"s";"15";"s";"s";"15";"s";"s";"17";"s";"s";"19";"s";"s";"21";"s";"s";"20";"s";"249500513";"Communauté de communes du Vexin-Val de Seine";"95";"Val-d'Oise";"11";"Île-de-France"
"95026";"Asnières-sur-Oise";"69";"29";"1196";"44";"27";"1196";"82";"s";"1196";"82";"22";"1194";"81";"22";"1188";"71";"21";"1187";"117";"26";"200073013";"Communauté de communes Carnelle Pays-de-France";"95";"Val-d'Oise";"11";"Île-de-France"
"95028";"Attainville";"32";"s";"630";"22";"11";"627";"51";"s";"608";"31";"14";"607";"38";"s";"606";"37";"s";"610";"58";"12";"200056380";"Communauté d'agglomération Plaine Vallée";"95";"Val-d'Oise";"11";"Île-de-France"
"95039";"Auvers-sur-Oise";"191";"54";"3089";"138";"71";"3076";"238";"38";"3061";"238";"38";"3058";"203";"45";"3010";"246";"64";"3009";"248";"62";"249500430";"Communauté de communes Sausseron Impressionnistes";"95";"Val-d'Oise";"11";"Île-de-France"
"95040";"Avernes";"32";"11";"s";"21";"s";"s";"34";"s";"s";"38";"12";"s";"28";"s";"s";"32";"s";"s";"26";"s";"200035970";"Communauté de communes Vexin Centre";"95";"Val-d'Oise";"11";"Île-de-France"
"95042";"Baillet-en-France";"56";"14";"900";"29";"14";"898";"44";"s";"891";"110";"s";"819";"64";"13";"790";"45";"13";"785";"45";"s";"200073013";"Communauté de communes Carnelle Pays-de-France";"95";"Val-d'Oise";"11";"Île-de-France"
"95046";"Banthelu";"s";"s";"63";"s";"s";"62";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"249500513";"Communauté de communes du Vexin-Val de Seine";"95";"Val-d'Oise";"11";"Île-de-France"
"95051";"Beauchamp";"176";"28";"3667";"95";"42";"3654";"219";"43";"3634";"267";"28";"3575";"269";"30";"3550";"237";"20";"3431";"197";"17";"200058485";"Communauté d'agglomération Val Parisis";"95";"Val-d'Oise";"11";"Île-de-France"
"95052";"Beaumont-sur-Oise";"408";"128";"3879";"335";"159";"3802";"468";"120";"3800";"560";"104";"3759";"438";"107";"3697";"574";"148";"3674";"674";"145";"249500489";"Communauté de communes du Haut Val d'Oise";"95";"Val-d'Oise";"11";"Île-de-France"
"95054";"Le Bellay-en-Vexin";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"11";"s";"200035970";"Communauté de communes Vexin Centre";"95";"Val-d'Oise";"11";"Île-de-France"
"95055";"Bellefontaine";"20";"s";"s";"13";"s";"s";"18";"s";"s";"21";"s";"s";"21";"s";"s";"17";"s";"s";"22";"s";"200073013";"Communauté de communes Carnelle Pays-de-France";"95";"Val-d'Oise";"11";"Île-de-France"
"95056";"Belloy-en-France";"65";"21";"930";"43";"22";"920";"72";"s";"908";"60";"13";"884";"67";"11";"877";"52";"12";"870";"66";"14";"200073013";"Communauté de communes Carnelle Pays-de-France";"95";"Val-d'Oise";"11";"Île-de-France"
"95058";"Bernes-sur-Oise";"47";"15";"761";"20";"s";"721";"40";"s";"711";"40";"11";"718";"36";"14";"708";"31";"16";"703";"61";"17";"249500489";"Communauté de communes du Haut Val d'Oise";"95";"Val-d'Oise";"11";"Île-de-France"
"95059";"Berville";"11";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"12";"s";"s";"14";"s";"s";"20";"s";"200035970";"Communauté de communes Vexin Centre";"95";"Val-d'Oise";"11";"Île-de-France"
"95060";"Bessancourt";"177";"30";"3110";"86";"43";"3044";"216";"28";"2990";"370";"24";"2812";"171";"33";"2686";"146";"28";"2680";"209";"19";"200058485";"Communauté d'agglomération Val Parisis";"95";"Val-d'Oise";"11";"Île-de-France"
"95061";"Béthemont-la-Forêt";"13";"s";"184";"s";"s";"184";"s";"s";"184";"s";"s";"184";"s";"s";"183";"s";"s";"182";"s";"s";"249500455";"Communauté de communes de la Vallée de l'Oise et des Trois Forêts";"95";"Val-d'Oise";"11";"Île-de-France"
"95063";"Bezons";"1033";"347";"11218";"770";"454";"10895";"1537";"171";"10601";"1389";"95";"10221";"1881";"86";"9478";"1552";"128";"8887";"1264";"135";"200058519";"Communauté d'agglomération Saint Germain Boucles de Seine";"95";"Val-d'Oise";"11";"Île-de-France"
"95074";"Boisemont";"21";"s";"s";"18";"s";"s";"26";"s";"s";"17";"s";"s";"26";"s";"s";"44";"11";"s";"33";"s";"249500109";"Communauté d'agglomération de Cergy-Pontoise";"95";"Val-d'Oise";"11";"Île-de-France"
"95078";"Boissy-l'Aillerie";"70";"30";"857";"55";"32";"852";"73";"s";"843";"72";"23";"836";"132";"25";"758";"58";"15";"750";"57";"14";"200035970";"Communauté de communes Vexin Centre";"95";"Val-d'Oise";"11";"Île-de-France"
"95088";"Bonneuil-en-France";"22";"s";"427";"12";"s";"428";"40";"s";"429";"35";"s";"430";"38";"17";"430";"34";"s";"428";"46";"s";"200055655";"Communauté d'agglomération Roissy Pays de France";"95";"Val-d'Oise";"11";"Île-de-France"
"95091";"Bouffémont";"79";"12";"1812";"34";"18";"1807";"68";"16";"1797";"111";"11";"1752";"86";"s";"1748";"76";"s";"1738";"88";"s";"200056380";"Communauté d'agglomération Plaine Vallée";"95";"Val-d'Oise";"11";"Île-de-France"
"95094";"Bouqueval";"13";"s";"s";"s";"s";"s";"s";"s";"s";"23";"s";"s";"23";"s";"s";"19";"s";"s";"23";"11";"200055655";"Communauté d'agglomération Roissy Pays de France";"95";"Val-d'Oise";"11";"Île-de-France"
"95101";"Bray-et-Lû";"20";"s";"332";"13";"s";"323";"24";"s";"320";"26";"s";"321";"24";"s";"321";"25";"12";"318";"32";"13";"249500513";"Communauté de communes du Vexin-Val de Seine";"95";"Val-d'Oise";"11";"Île-de-France"
"95102";"Bréançon";"14";"s";"s";"s";"s";"s";"14";"s";"s";"17";"s";"s";"14";"s";"s";"16";"s";"s";"27";"s";"200035970";"Communauté de communes Vexin Centre";"95";"Val-d'Oise";"11";"Île-de-France"
"95110";"Brignancourt";"s";"s";"100";"s";"s";"100";"s";"s";"100";"s";"s";"98";"s";"s";"89";"s";"s";"87";"s";"0";"200035970";"Communauté de communes Vexin Centre";"95";"Val-d'Oise";"11";"Île-de-France"
"95116";"Bruyères-sur-Oise";"68";"17";"1419";"33";"17";"1416";"85";"s";"1414";"85";"s";"1412";"247";"s";"1184";"60";"15";"1181";"108";"20";"249500489";"Communauté de communes du Haut Val d'Oise";"95";"Val-d'Oise";"11";"Île-de-France"
"95119";"Buhy";"s";"s";"s";"s";"s";"s";"s";"s";"s";"11";"s";"157";"11";"s";"154";"11";"s";"153";"17";"s";"249500513";"Communauté de communes du Vexin-Val de Seine";"95";"Val-d'Oise";"11";"Île-de-France"
"95120";"Butry-sur-Oise";"40";"s";"812";"29";"12";"806";"51";"s";"807";"41";"s";"806";"49";"s";"801";"47";"s";"800";"42";"s";"249500430";"Communauté de communes Sausseron Impressionnistes";"95";"Val-d'Oise";"11";"Île-de-France"
"95127";"Cergy";"1790";"216";"21132";"1221";"518";"20972";"3456";"380";"20311";"2943";"174";"19480";"2565";"204";"19141";"2524";"269";"18735";"2696";"288";"249500109";"Communauté d'agglomération de Cergy-Pontoise";"95";"Val-d'Oise";"11";"Île-de-France"
"95134";"Champagne-sur-Oise";"102";"21";"1819";"63";"31";"1812";"166";"12";"1810";"174";"s";"1747";"93";"12";"1730";"106";"21";"1721";"142";"17";"249500489";"Communauté de communes du Haut Val d'Oise";"95";"Val-d'Oise";"11";"Île-de-France"
"95139";"La Chapelle-en-Vexin";"s";"s";"137";"s";"s";"138";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"11";"s";"249500513";"Communauté de communes du Vexin-Val de Seine";"95";"Val-d'Oise";"11";"Île-de-France"
"95141";"Charmont";"s";"s";"16";"s";"s";"16";"s";"0";"16";"s";"0";"16";"s";"s";"17";"s";"s";"17";"s";"0";"249500513";"Communauté de communes du Vexin-Val de Seine";"95";"Val-d'Oise";"11";"Île-de-France"
"95142";"Chars";"88";"38";"812";"59";"38";"811";"86";"28";"813";"100";"29";"808";"81";"34";"808";"82";"40";"809";"94";"33";"200035970";"Communauté de communes Vexin Centre";"95";"Val-d'Oise";"11";"Île-de-France"
"95144";"Châtenay-en-France";"0";"0";"s";"0";"0";"s";"s";"s";"s";"s";"0";"s";"s";"0";"s";"s";"0";"s";"s";"0";"200073013";"Communauté de communes Carnelle Pays-de-France";"95";"Val-d'Oise";"11";"Île-de-France"
"95149";"Chaumontel";"114";"36";"1477";"64";"42";"1473";"91";"27";"1462";"105";"30";"1458";"117";"26";"1457";"142";"31";"1387";"83";"33";"200073013";"Communauté de communes Carnelle Pays-de-France";"95";"Val-d'Oise";"11";"Île-de-France"
"95150";"Chaussy";"15";"s";"317";"17";"s";"317";"22";"s";"318";"30";"11";"317";"28";"s";"317";"35";"15";"314";"35";"14";"249500513";"Communauté de communes du Vexin-Val de Seine";"95";"Val-d'Oise";"11";"Île-de-France"
"95151";"Chauvry";"15";"s";"136";"s";"s";"137";"s";"s";"s";"11";"s";"s";"s";"s";"s";"11";"s";"s";"12";"s";"249500455";"Communauté de communes de la Vallée de l'Oise et des Trois Forêts";"95";"Val-d'Oise";"11";"Île-de-France"
"95154";"Chennevières-lès-Louvres";"s";"s";"s";"s";"s";"s";"s";"s";"s";"13";"s";"s";"14";"s";"s";"12";"s";"s";"13";"s";"200055655";"Communauté d'agglomération Roissy Pays de France";"95";"Val-d'Oise";"11";"Île-de-France"
"95157";"Chérence";"s";"s";"106";"s";"s";"103";"s";"s";"103";"s";"s";"103";"12";"s";"103";"11";"s";"103";"s";"s";"249500513";"Communauté de communes du Vexin-Val de Seine";"95";"Val-d'Oise";"11";"Île-de-France"
"95166";"Cléry-en-Vexin";"s";"s";"s";"s";"s";"s";"19";"s";"s";"22";"s";"s";"14";"s";"s";"12";"s";"s";"15";"s";"200035970";"Communauté de communes Vexin Centre";"95";"Val-d'Oise";"11";"Île-de-France"
"95169";"Commeny";"11";"s";"242";"s";"s";"241";"13";"s";"240";"15";"s";"240";"13";"s";"237";"s";"s";"235";"15";"s";"200035970";"Communauté de communes Vexin Centre";"95";"Val-d'Oise";"11";"Île-de-France"
"95170";"Condécourt";"23";"11";"s";"15";"s";"s";"38";"s";"s";"22";"s";"s";"14";"s";"s";"11";"s";"s";"14";"s";"200035970";"Communauté de communes Vexin Centre";"95";"Val-d'Oise";"11";"Île-de-France"
"95176";"Cormeilles-en-Parisis";"696";"147";"10754";"407";"206";"10415";"783";"107";"10274";"873";"49";"10185";"849";"47";"10054";"1047";"68";"9631";"970";"120";"200058485";"Communauté d'agglomération Val Parisis";"95";"Val-d'Oise";"11";"Île-de-France"
"95177";"Cormeilles-en-Vexin";"51";"19";"542";"35";"16";"538";"49";"s";"531";"51";"15";"526";"36";"s";"519";"44";"12";"520";"36";"s";"200035970";"Communauté de communes Vexin Centre";"95";"Val-d'Oise";"11";"Île-de-France"
"95181";"Courcelles-sur-Viosne";"12";"s";"s";"s";"s";"s";"s";"s";"s";"13";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"200035970";"Communauté de communes Vexin Centre";"95";"Val-d'Oise";"11";"Île-de-France"
"95183";"Courdimanche";"121";"21";"2239";"83";"31";"2234";"136";"23";"2228";"171";"22";"2214";"195";"27";"2147";"164";"24";"2080";"147";"14";"249500109";"Communauté d'agglomération de Cergy-Pontoise";"95";"Val-d'Oise";"11";"Île-de-France"
"95197";"Deuil-la-Barre";"657";"131";"9573";"422";"176";"9589";"910";"177";"9586";"811";"82";"9396";"685";"54";"9363";"631";"73";"9238";"791";"63";"200056380";"Communauté d'agglomération Plaine Vallée";"95";"Val-d'Oise";"11";"Île-de-France"
"95199";"Domont";"414";"84";"5991";"297";"159";"6001";"460";"124";"5975";"506";"88";"5984";"536";"79";"6053";"568";"70";"5943";"645";"51";"200056380";"Communauté d'agglomération Plaine Vallée";"95";"Val-d'Oise";"11";"Île-de-France"
"95203";"Eaubonne";"540";"93";"9475";"345";"132";"9415";"661";"96";"9418";"725";"60";"9271";"683";"57";"9030";"581";"85";"9048";"709";"89";"200058485";"Communauté d'agglomération Val Parisis";"95";"Val-d'Oise";"11";"Île-de-France"
"95205";"Écouen";"183";"49";"2381";"107";"59";"2385";"167";"35";"2385";"173";"25";"2382";"136";"28";"2379";"155";"28";"2381";"156";"20";"200055655";"Communauté d'agglomération Roissy Pays de France";"95";"Val-d'Oise";"11";"Île-de-France"
"95210";"Enghien-les-Bains";"550";"146";"5670";"419";"185";"5648";"736";"166";"5623";"674";"130";"5635";"651";"91";"5587";"668";"92";"5602";"701";"91";"200056380";"Communauté d'agglomération Plaine Vallée";"95";"Val-d'Oise";"11";"Île-de-France"
"95211";"Ennery";"52";"14";"947";"43";"21";"944";"67";"12";"943";"73";"13";"937";"97";"43";"974";"106";"51";"973";"159";"41";"249500430";"Communauté de communes Sausseron Impressionnistes";"95";"Val-d'Oise";"11";"Île-de-France"
"95212";"Épiais-lès-Louvres";"s";"s";"66";"s";"s";"66";"13";"s";"66";"11";"s";"64";"15";"s";"64";"16";"s";"62";"12";"s";"200055655";"Communauté d'agglomération Roissy Pays de France";"95";"Val-d'Oise";"11";"Île-de-France"
