"ANNEE";"COMM";"TYPE_LGT";"LOG_AUT";"LOG_COM";"SDP_AUT";"SDP_COM"
"2025";"95002";"Tous Logements";0;;0;
"2025";"95002";"Individuel pur";0;;0;
"2025";"95002";"Individuel groupe";0;;0;
"2025";"95002";"Collectif";0;;0;
"2025";"95002";"Residence";0;;0;
"2025";"95008";"Tous Logements";1;;99;
"2025";"95008";"Individuel pur";1;;99;
"2025";"95008";"Individuel groupe";0;;0;
"2025";"95008";"Collectif";0;;0;
"2025";"95008";"Residence";0;;0;
"2025";"95011";"Tous Logements";0;;0;
"2025";"95011";"Individuel pur";0;;0;
"2025";"95011";"Individuel groupe";0;;0;
"2025";"95011";"Collectif";0;;0;
"2025";"95011";"Residence";0;;0;
"2025";"95012";"Tous Logements";0;;0;
"2025";"95012";"Individuel pur";0;;0;
"2025";"95012";"Individuel groupe";0;;0;
"2025";"95012";"Collectif";0;;0;
"2025";"95012";"Residence";0;;0;
"2025";"95014";"Tous Logements";1;;29;
"2025";"95014";"Individuel pur";1;;29;
"2025";"95014";"Individuel groupe";0;;0;
"2025";"95014";"Collectif";0;;0;
"2025";"95014";"Residence";0;;0;
"2025";"95018";"Tous Logements";271;;21750;
"2025";"95018";"Individuel pur";28;;4014;
"2025";"95018";"Individuel groupe";49;;5046;
"2025";"95018";"Collectif";194;;12690;
"2025";"95018";"Residence";0;;0;
"2025";"95019";"Tous Logements";145;;9349;
"2025";"95019";"Individuel pur";5;;577;
"2025";"95019";"Individuel groupe";0;;0;
"2025";"95019";"Collectif";140;;8772;
"2025";"95019";"Residence";0;;0;
"2025";"95023";"Tous Logements";2;;245;
"2025";"95023";"Individuel pur";0;;0;
"2025";"95023";"Individuel groupe";2;;245;
"2025";"95023";"Collectif";0;;0;
"2025";"95023";"Residence";0;;0;
"2025";"95024";"Tous Logements";1;;72;
"2025";"95024";"Individuel pur";1;;72;
"2025";"95024";"Individuel groupe";0;;0;
"2025";"95024";"Collectif";0;;0;
"2025";"95024";"Residence";0;;0;
"2025";"95026";"Tous Logements";2;;223;
"2025";"95026";"Individuel pur";2;;223;
"2025";"95026";"Individuel groupe";0;;0;
"2025";"95026";"Collectif";0;;0;
"2025";"95026";"Residence";0;;0;
"2025";"95028";"Tous Logements";1;;73;
"2025";"95028";"Individuel pur";1;;73;
"2025";"95028";"Individuel groupe";0;;0;
"2025";"95028";"Collectif";0;;0;
"2025";"95028";"Residence";0;;0;
"2025";"95039";"Tous Logements";6;;372;
"2025";"95039";"Individuel pur";6;;372;
"2025";"95039";"Individuel groupe";0;;0;
"2025";"95039";"Collectif";0;;0;
"2025";"95039";"Residence";0;;0;
"2025";"95040";"Tous Logements";1;;51;
"2025";"95040";"Individuel pur";1;;51;
"2025";"95040";"Individuel groupe";0;;0;
"2025";"95040";"Collectif";0;;0;
"2025";"95040";"Residence";0;;0;
"2025";"95042";"Tous Logements";116;;7789;
"2025";"95042";"Individuel pur";1;;428;
"2025";"95042";"Individuel groupe";0;;0;
"2025";"95042";"Collectif";115;;7361;
"2025";"95042";"Residence";0;;0;
"2025";"95046";"Tous Logements";0;;0;
"2025";"95046";"Individuel pur";0;;0;
"2025";"95046";"Individuel groupe";0;;0;
"2025";"95046";"Collectif";0;;0;
"2025";"95046";"Residence";0;;0;
"2025";"95051";"Tous Logements";5;;685;
"2025";"95051";"Individuel pur";3;;383;
"2025";"95051";"Individuel groupe";2;;302;
"2025";"95051";"Collectif";0;;0;
"2025";"95051";"Residence";0;;0;
"2025";"95052";"Tous Logements";78;;5088;
"2025";"95052";"Individuel pur";5;;365;
"2025";"95052";"Individuel groupe";0;;0;
"2025";"95052";"Collectif";73;;4723;
"2025";"95052";"Residence";0;;0;
"2025";"95054";"Tous Logements";1;;77;
"2025";"95054";"Individuel pur";1;;77;
"2025";"95054";"Individuel groupe";0;;0;
"2025";"95054";"Collectif";0;;0;
"2025";"95054";"Residence";0;;0;
"2025";"95055";"Tous Logements";0;;0;
"2025";"95055";"Individuel pur";0;;0;
"2025";"95055";"Individuel groupe";0;;0;
"2025";"95055";"Collectif";0;;0;
"2025";"95055";"Residence";0;;0;
"2025";"95056";"Tous Logements";2;;160;
"2025";"95056";"Individuel pur";2;;160;
"2025";"95056";"Individuel groupe";0;;0;
"2025";"95056";"Collectif";0;;0;
"2025";"95056";"Residence";0;;0;
"2025";"95058";"Tous Logements";14;;1006;
"2025";"95058";"Individuel pur";3;;288;
"2025";"95058";"Individuel groupe";1;;94;
"2025";"95058";"Collectif";10;;624;
"2025";"95058";"Residence";0;;0;
"2025";"95059";"Tous Logements";0;;0;
"2025";"95059";"Individuel pur";0;;0;
"2025";"95059";"Individuel groupe";0;;0;
"2025";"95059";"Collectif";0;;0;
"2025";"95059";"Residence";0;;0;
"2025";"95060";"Tous Logements";23;;1855;
"2025";"95060";"Individuel pur";18;;1664;
"2025";"95060";"Individuel groupe";5;;191;
"2025";"95060";"Collectif";0;;0;
"2025";"95060";"Residence";0;;0;
"2025";"95061";"Tous Logements";0;;0;
"2025";"95061";"Individuel pur";0;;0;
"2025";"95061";"Individuel groupe";0;;0;
"2025";"95061";"Collectif";0;;0;
"2025";"95061";"Residence";0;;0;
"2025";"95063";"Tous Logements";306;;20000;
"2025";"95063";"Individuel pur";16;;1564;
"2025";"95063";"Individuel groupe";0;;0;
"2025";"95063";"Collectif";290;;18436;
"2025";"95063";"Residence";0;;0;
"2025";"95074";"Tous Logements";1;;254;
"2025";"95074";"Individuel pur";1;;254;
"2025";"95074";"Individuel groupe";0;;0;
"2025";"95074";"Collectif";0;;0;
"2025";"95074";"Residence";0;;0;
"2025";"95078";"Tous Logements";0;;0;
"2025";"95078";"Individuel pur";0;;0;
"2025";"95078";"Individuel groupe";0;;0;
"2025";"95078";"Collectif";0;;0;
"2025";"95078";"Residence";0;;0;
"2025";"95088";"Tous Logements";0;;0;
"2025";"95088";"Individuel pur";0;;0;
"2025";"95088";"Individuel groupe";0;;0;
"2025";"95088";"Collectif";0;;0;
"2025";"95088";"Residence";0;;0;
"2025";"95091";"Tous Logements";0;;0;
"2025";"95091";"Individuel pur";0;;0;
"2025";"95091";"Individuel groupe";0;;0;
"2025";"95091";"Collectif";0;;0;
"2025";"95091";"Residence";0;;0;
"2025";"95094";"Tous Logements";1;;129;
"2025";"95094";"Individuel pur";1;;129;
"2025";"95094";"Individuel groupe";0;;0;
"2025";"95094";"Collectif";0;;0;
"2025";"95094";"Residence";0;;0;
"2025";"95101";"Tous Logements";2;;102;
"2025";"95101";"Individuel pur";0;;0;
"2025";"95101";"Individuel groupe";2;;102;
"2025";"95101";"Collectif";0;;0;
"2025";"95101";"Residence";0;;0;
"2025";"95102";"Tous Logements";0;;0;
"2025";"95102";"Individuel pur";0;;0;
"2025";"95102";"Individuel groupe";0;;0;
"2025";"95102";"Collectif";0;;0;
"2025";"95102";"Residence";0;;0;
"2025";"95110";"Tous Logements";0;;0;
"2025";"95110";"Individuel pur";0;;0;
"2025";"95110";"Individuel groupe";0;;0;
"2025";"95110";"Collectif";0;;0;
"2025";"95110";"Residence";0;;0;
"2025";"95116";"Tous Logements";0;;0;
"2025";"95116";"Individuel pur";0;;0;
"2025";"95116";"Individuel groupe";0;;0;
"2025";"95116";"Collectif";0;;0;
"2025";"95116";"Residence";0;;0;
"2025";"95119";"Tous Logements";0;;0;
"2025";"95119";"Individuel pur";0;;0;
"2025";"95119";"Individuel groupe";0;;0;
"2025";"95119";"Collectif";0;;0;
"2025";"95119";"Residence";0;;0;
"2025";"95120";"Tous Logements";1;;84;
"2025";"95120";"Individuel pur";1;;84;
"2025";"95120";"Individuel groupe";0;;0;
"2025";"95120";"Collectif";0;;0;
"2025";"95120";"Residence";0;;0;
"2025";"95127";"Tous Logements";214;;13814;
"2025";"95127";"Individuel pur";2;;33;
"2025";"95127";"Individuel groupe";0;;0;
"2025";"95127";"Collectif";212;;13781;
"2025";"95127";"Residence";0;;0;
"2025";"95134";"Tous Logements";4;;302;
"2025";"95134";"Individuel pur";4;;302;
"2025";"95134";"Individuel groupe";0;;0;
"2025";"95134";"Collectif";0;;0;
"2025";"95134";"Residence";0;;0;
"2025";"95139";"Tous Logements";0;;0;
"2025";"95139";"Individuel pur";0;;0;
"2025";"95139";"Individuel groupe";0;;0;
"2025";"95139";"Collectif";0;;0;
"2025";"95139";"Residence";0;;0;
"2025";"95141";"Tous Logements";0;;0;
"2025";"95141";"Individuel pur";0;;0;
"2025";"95141";"Individuel groupe";0;;0;
"2025";"95141";"Collectif";0;;0;
"2025";"95141";"Residence";0;;0;
"2025";"95142";"Tous Logements";4;;199;
"2025";"95142";"Individuel pur";2;;79;
"2025";"95142";"Individuel groupe";2;;120;
"2025";"95142";"Collectif";0;;0;
"2025";"95142";"Residence";0;;0;
"2025";"95144";"Tous Logements";0;;0;
"2025";"95144";"Individuel pur";0;;0;
"2025";"95144";"Individuel groupe";0;;0;
"2025";"95144";"Collectif";0;;0;
"2025";"95144";"Residence";0;;0;
"2025";"95149";"Tous Logements";1;;91;
"2025";"95149";"Individuel pur";1;;91;
"2025";"95149";"Individuel groupe";0;;0;
"2025";"95149";"Collectif";0;;0;
"2025";"95149";"Residence";0;;0;
"2025";"95150";"Tous Logements";0;;0;
"2025";"95150";"Individuel pur";0;;0;
"2025";"95150";"Individuel groupe";0;;0;
"2025";"95150";"Collectif";0;;0;
"2025";"95150";"Residence";0;;0;
"2025";"95151";"Tous Logements";0;;0;
"2025";"95151";"Individuel pur";0;;0;
"2025";"95151";"Individuel groupe";0;;0;
"2025";"95151";"Collectif";0;;0;
"2025";"95151";"Residence";0;;0;
"2025";"95154";"Tous Logements";0;;0;
"2025";"95154";"Individuel pur";0;;0;
"2025";"95154";"Individuel groupe";0;;0;
"2025";"95154";"Collectif";0;;0;
"2025";"95154";"Residence";0;;0;
"2025";"95157";"Tous Logements";0;;0;
"2025";"95157";"Individuel pur";0;;0;
"2025";"95157";"Individuel groupe";0;;0;
"2025";"95157";"Collectif";0;;0;
"2025";"95157";"Residence";0;;0;
"2025";"95166";"Tous Logements";1;;29;
"2025";"95166";"Individuel pur";1;;29;
"2025";"95166";"Individuel groupe";0;;0;
"2025";"95166";"Collectif";0;;0;
"2025";"95166";"Residence";0;;0;
"2025";"95169";"Tous Logements";2;;167;
"2025";"95169";"Individuel pur";2;;167;
"2025";"95169";"Individuel groupe";0;;0;
"2025";"95169";"Collectif";0;;0;
"2025";"95169";"Residence";0;;0;
"2025";"95170";"Tous Logements";0;;0;
"2025";"95170";"Individuel pur";0;;0;
"2025";"95170";"Individuel groupe";0;;0;
"2025";"95170";"Collectif";0;;0;
"2025";"95170";"Residence";0;;0;
"2025";"95176";"Tous Logements";227;;14681;
"2025";"95176";"Individuel pur";10;;1025;
"2025";"95176";"Individuel groupe";8;;383;
"2025";"95176";"Collectif";209;;13273;
